CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1110.461286,3.70153762,54.28044817222132,29.329245999999998,20.457396006702663,540.328
1,574000,2129.207403,3.70942056271777,77.11326626568017,21.730904,27.61044823537944,281.805
1,738000,2737.588458,3.709469455284553,90.8862938511445,19.920367,30.119927007368894,219.179
1,930000,3452.700875,3.7125815860215052,107.92127053543172,18.755098,31.991301778321816,173.785
1,1098000,4076.640848,3.7127876575591987,122.47646547272876,18.027065999999998,33.28328636506906,147.188
1,1197000,4440.990341,3.71010053550543,130.68605029826665,17.657515,33.97986636284891,135.114
1,1328000,4927.52433,3.710485188253012,141.1700459050857,17.1907,34.90259268092631,121.773
1,1401000,5201.425191,3.712651813704497,146.8709875954612,16.943184000000002,35.41247028893743,115.361
1,1598000,5932.13636,3.712225506883605,162.78214963619106,16.46574,36.439297596099536,101.152
1,1704000,6326.844802,3.7129370903755867,172.94107041184284,16.402077000000002,36.580733037651264,94.842
1,1803000,6691.947357,3.7115625940099832,182.99743498237945,16.409014,36.565268333612245,89.668
4,400000,3098.037393,7.7450934825,25.476605499850265,4.934258,121.59883005712308,193.678
4,553000,4288.59377,7.7551424412296575,36.123742066441764,5.054145,118.71444131499986,139.912
4,696000,5390.10915,7.744409698275862,47.13105461731944,5.2466289999999995,114.3591437473471,111.32
4,799000,6188.820926,7.745708292866083,55.80174307668506,5.410258,110.90044134678975,96.955
4,910000,7044.982211,7.741738693406593,65.91715781811351,5.614428,106.86752060940135,85.174
4,1024000,7932.310947,7.746397409179687,77.16619517224969,5.837314,102.78700100765523,75.646
4,1197000,9266.552379,7.741480684210527,98.46672843795847,6.376213,94.0997422764892,64.755
4,1328000,10280.662075,7.741462405873494,115.46977796052632,6.739739999999999,89.0242056815248,58.368
4,1491000,11546.010853,7.743803389000671,146.6375671047315,7.620901,78.73084822910047,51.971
4,1663000,12887.15151,7.749339452796152,183.85845288205482,8.561185,70.08375592864773,46.564
4,1836000,14234.875445,7.753200133442266,226.88879664112721,9.564950999999999,62.729019730472224,42.157
4,1999000,15478.278815,7.743010912956478,278.90539076605626,10.813162,55.48793220706394,38.77
4,2130000,16489.405557,7.741504956338027,339.99230621273324,12.37334,48.49135318353815,36.393
4,2253000,17449.976733,7.745218256990679,403.22401209618795,13.867277,43.26732638282195,34.391
6,500000,4640.514788,9.281029576000002,51.60888528012992,6.6738029999999995,89.90376251741324,129.315
6,851000,7922.570082,9.309718075205641,102.56862615675041,7.7696760000000005,77.22329734212855,75.751
6,984000,9132.142096,9.280632211382114,125.22332623250152,8.229676999999999,72.90687107161071,65.72
6,1106000,10273.093057,9.288510901446655,154.92944438738832,9.051288000000001,66.28890827471184,58.422
6,1277000,11873.429244,9.29790857008614,197.08217281215383,9.962898,60.223441010838414,50.552
6,1426000,13254.981664,9.29521855820477,233.32435297235227,10.56586,56.7866695186194,45.284
6,1582000,14690.759512,9.286194381795196,281.75853545118576,11.512372,52.11784330805155,40.859
6,1745000,16236.402013,9.304528374212035,351.82754050471993,13.007416,46.127532170878524,36.971
6,1826000,16980.331116,9.299195572836803,437.3254886431137,15.460768,38.80790397993166,35.353
6,2048000,19034.325233,9.294104117675781,566.1506071847554,17.855824000000002,33.60248174489175,31.539
6,2188000,20326.580392,9.290027601462523,670.2728965633994,19.796509999999998,30.308372536371312,29.535
6,2252000,20932.910023,9.295253118561279,731.0718245528399,20.967871,28.615208477770587,28.681
6,2401000,22294.058633,9.285322212827989,845.9700345326946,22.782819,26.335634760562336,26.931
6,2507000,23290.117227,9.29003479337854,972.2870830100853,25.065561000000002,23.937226060888882,25.78
6,2630000,24432.951908,9.290095782509505,1164.0469156901042,28.607616999999998,20.973435151903775,24.576
6,2704000,25105.652956,9.284634968934911,1274.5450744271618,30.482020000000002,19.683734870589284,23.916
6,2802000,26042.796996,9.294360098501071,1443.600529100529,33.286541,18.02530338012592,23.058
6,2850000,26481.881979,9.29188841368421,1605.0417658992678,36.392717,16.486815205361008,22.674
